2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|14:30:45|Grocery shopping|Walmart|-120.35
2024-04-17|09:05:10|Gasoline|Shell|-45.00
2024-04-18|12:30:00|Monthly rent payment|ABC Apartments|-2000.00
2024-04-19|15:20:30|Dinner with friends|Cheesecake Factory|-85.20
2024-04-21|08:45:00|Salary deposit|ABC Company|5000.00
2024-04-23|14:00:15|Haircut|Mario's Barber Shop|-35.00
2024-04-24|16:10:00|Online course subscription|Udemy|-70.00
2024-09-15|09:45:00|payment for services|freelancer|-2000.00
2024-01-20|11:00:00|tax refund|government|1500.00
2023-05-25|14:20:00|gift from aunt|family|1000.00
2024-10-17|09:11:00|payment to netflix |90000|8000.00
2023-08-09|13:30:15|Luffy Plushie|StrawHats|300.00
2024-09-06|04:30:26|Zoro Plushie|StrawHats|-259.00
2024-10-17|15:08:15|BWill Bacc|Big 4|700000.00
